id_municipio_ibge;nome_municipio;populacao_municipio;id_foro;nome_foro;total_varas_foro;entrancia;endereco_sede;latitude;longitude;id_cj;nome_cj;id_raj;nome_raj;populacao_foro;qt_cidades_foro;cidades_no_foro;qt_cidades_cj;cidades_na_cj;unidades;total_varas_municipio;varas_municipio;varas_foro
3500907;Altair;3451;3533908;Olímpia;4;Entrância Intermediária;Rua Engenheiro Reid , 377 - Patrimônio de São João Batista, 15400-091;-20.70524588579201;-48.959617264381016;14;14ª Barretos;8;8ª São José do Rio Preto;94907;6;Altair, Cajobi, Embaúba, Guaraci, Olímpia, Severínia;16;Altair, Barretos, Bebedouro, Cajobi, Colina, Colômbia, Embaúba, Guaraci, Guaíra, Jaborandi, Monte Azul Paulista, Olímpia, Paraíso, Severínia, Terra Roxa, Viradouro;;0;;1ª Vara Cível, 2ª Vara Cível, 3ª Vara Cível, Vara Criminal
3501004;Altinópolis;16818;3501004;Altinópolis;2;Entrância Inicial;Avenida Doutor Alberto Crivelenti , 555 - Centro, 14350-005;-21.0180306844526;-47.38623046766729;39;39ª Batatais;6;6ª Ribeirão Preto;23593;2;Altinópolis, Santo Antônio da Alegria;8;Altinópolis, Batatais, Brodowski, Morro Agudo, Nuporanga, Orlândia, Sales Oliveira, Santo Antônio da Alegria;"Fórum ""Desembargador ALFREDO FANUCCHI NETO""";2;Juizado Especial Cível / Criminal e Fazenda Pública, Vara Judicial;Juizado Especial Cível / Criminal e Fazenda Pública, Vara Judicial
3501103;Alto Alegre;3841;3537305;Penápolis;5;Entrância Intermediária;Praça Doutor Carlos Sampaio Filho , 190 - Centro, 16300-000;-21.405402830387295;-50.0956961896093;36;36ª Araçatuba;2;2ª Araçatuba;96618;7;Alto Alegre, Avanhandava, Barbosa, Braúna, Glicério, Luiziânia, Penápolis;26;Alto Alegre, Araçatuba, Avanhandava, Barbosa, Bento de Abreu, Bilac, Birigui, Braúna, Brejo Alegre, Buritama, Clementina, Coroados, Gabriel Monteiro, Glicério, Guararapes, Lourdes, Luiziânia, Penápolis, Piacatu, Planalto, Rubiácea, Santo Antônio do Aracanguá, Santópolis do Aguapeí, Turiúba, Valparaíso, Zacarias;;0;;1ª Vara Judicial, 2ª Vara Judicial, 3ª Vara Judicial, 4ª Vara Judicial, Vara do Juizado Especial Cível e Criminal
3501152;Alumínio;17301;3528403;Mairinque;1;Entrância Intermediária;Avenida Doutor Gaspar Ricardo Jr. , 185 - Centro, 18120-000;-23.50796877902965;-47.229278565440616;19;19ª Sorocaba;10;10ª Sorocaba;67328;2;Alumínio, Mairinque;12;Alumínio, Araçariguama, Araçoiaba da Serra, Ibiúna, Mairinque, Piedade, Pilar do Sul, Salto de Pirapora, Sorocaba, São Roque, Tapiraí, Votorantim;;0;;Juizado Especial Cível e Criminal
3501202;Álvares Florence;3915;3557105;Votuporanga;6;Entrância Final;Rua Espírito Santo , 2497 - Cia Melhoramentos, 15501-221;-20.4578116989283;-49.98909642316039;17;17ª Votuporanga;8;8ª São José do Rio Preto;117539;4;Parisi, Valentim Gentil, Votuporanga, Álvares Florence;13;Cardoso, Floreal, Gastão Vidigal, Magda, Mira Estrela, Monções, Nhandeara, Nova Luzitânia, Parisi, Pontes Gestal, Valentim Gentil, Votuporanga, Álvares Florence;;0;;1ª Vara Criminal, 1ª Vara Cível, 2ª Vara Cível, 3ª Vara Cível, 4ª Vara Cível, Ofício do Juizado Especial Civel e Criminal
3501301;Álvares Machado;27255;3541406;Presidente Prudente;17;Entrância Final;Avenida Coronel José Soares Marcondes , 2201 - Vila Comercial, 19013-050;-21.99318224082918;-51.34313661870564;27;27ª Presidente Prudente;5;5ª Presidente Prudente;264391;5;Alfredo Marcondes, Anhumas, Presidente Prudente, Santo Expedito, Álvares Machado;20;Alfredo Marcondes, Anhumas, Caiabu, Emilianópolis, Estrela do Norte, Iepê, Indiana, Martinópolis, Nantes, Narandiba, Pirapozinho, Presidente Bernardes, Presidente Prudente, Rancharia, Regente Feijó, Sandovalina, Santo Expedito, Taciba, Tarabai, Álvares Machado;;0;;1ª Vara Criminal, 1ª Vara Cível, 1ª Vara da Família e das Sucessões, 1ª Vara das Execuções Criminais, 2ª Vara Criminal, 2ª Vara Cível, 2ª Vara da Família e das Sucessões, 2ª Vara das Execuçõs Criminais, 3ª Vara Criminal, 3ª Vara Cível, 4ª Vara Cível, 5ª Vara Cível, Juizado Especial Cível, Ofício do Juizado Especial Cível, Vara da Fazenda Pública, Vara do Juizado Especial Cível, Vara do Júri e da Infância e da Juventude
3501400;Álvaro de Carvalho;4808;3516705;Garça;4;Entrância Inicial;Praça Doutor Martino Funchal de Barros , 50 - Willians, 17402-059;-22.23104003516052;-49.689635238555574;31;31ª Marília;5;5ª Presidente Prudente;53784;4;Alvinlândia, Garça, Lupércio, Álvaro de Carvalho;12;Alvinlândia, Fernão, Garça, Gália, Lupércio, Marília, Ocauçu, Oriente, Pompéia, Quintana, Vera Cruz, Álvaro de Carvalho;;0;;1ª Vara judicial, 2ª Vara Judicial, 3ª Vara Judicial, Juizado Especial Cível e Criminal
3501509;Alvinlândia;2885;3516705;Garça;4;Entrância Inicial;Praça Doutor Martino Funchal de Barros , 50 - Willians, 17402-059;-22.23104003516052;-49.689635238555574;31;31ª Marília;5;5ª Presidente Prudente;53784;4;Alvinlândia, Garça, Lupércio, Álvaro de Carvalho;12;Alvinlândia, Fernão, Garça, Gália, Lupércio, Marília, Ocauçu, Oriente, Pompéia, Quintana, Vera Cruz, Álvaro de Carvalho;;0;;1ª Vara judicial, 2ª Vara Judicial, 3ª Vara Judicial, Juizado Especial Cível e Criminal
3501608;Americana;237240;3501608;Americana;9;Entrância Final;Avenida Brasil Sul , 2669 - Parque Res. Nardini, 13468-390;-22.723245297674573;-47.28910616175713;53;53ª Americana;4;4ª Campinas;237240;1;Americana;5;Americana, Hortolândia, Nova Odessa, Santa Bárbara d'Oeste, Sumaré;Fórum Americana, Fórum Americana (Anexo Fiscal e Setor Técnico de Serviço Social e Psicologia), Fórum Americana (CEJUSC) - UNISAL;9;1ª Vara Criminal, 1ª Vara Cível, 1ª Vara da Família e das Sucessões, 2ª Vara Criminal, 2ª Vara Cível, 3ª Vara Cível, 4ª Vara Cível, Execuções Criminais e da Infância e da Juventude, Vara do Júri;1ª Vara Criminal, 1ª Vara Cível, 1ª Vara da Família e das Sucessões, 2ª Vara Criminal, 2ª Vara Cível, 3ª Vara Cível, 4ª Vara Cível, Execuções Criminais e da Infância e da Juventude, Vara do Júri
3501707;Américo Brasiliense;33019;3501707;Américo Brasiliense;3;Entrância Inicial;Rua D. Pedro II , 65 - Centro, 14820-000;-21.722318557494347;-48.03236637266592;13;13ª Araraquara;6;6ª Ribeirão Preto;53300;4;Américo Brasiliense, Motuca, Rincão, Santa Lúcia;14;Américo Brasiliense, Araraquara, Borborema, Dobrada, Gavião Peixoto, Iacanga, Ibitinga, Itápolis, Matão, Motuca, Nova Europa, Rincão, Santa Lúcia, Tabatinga;Fórum Américo Brasiliense, Prédio do CEJUSC de Américo Brasiliense [destivado];3;1ª Vara Judicial, 2ª Vara Judicial, Juizado Especial Cível;1ª Vara Judicial, 2ª Vara Judicial, Juizado Especial Cível
